MovieID,Title,Genre,Runtime,Year,Lead Actor,Director,IMDB,RT (%),Budget,Box Office Revenue (in million $),Like it
1,Temporal Drift,Sci-Fi,118,2023,Chris Hemsworth,Denis Villeneuve,7.3,84,160,504,1
2,Eagle's Cry,Action,110,2021,Scarlett Johansson,Michael Bay,6.8,78,135,119,1
3,Moonlit Serenade,Romance,103,2022,Leonardo DiCaprio,Wes Anderson,7.5,86,55,59,1
4,Silent Whispers,Drama,107,2021,Meryl Streep,Steven Spielberg,6.7,76,45,31,0
5,Guardians Unleashed,Adventure,123,2023,Tom Cruise,James Cameron,8,90,150,500,1
6,Bloody Night,Horror,96,2022,Jennifer Lawrence,Jordan Peele,6.2,73,25,57,0
7,Lonely Roads,Drama,109,2021,Bradley Cooper,David O. Russell,7.4,85,65,80,0
8,Deserted Realms,Adventure,126,2023,Charlize Theron,Ridley Scott,7.8,88,140,480,1
9,Dusk Siege,Action,112,2022,Robert Pattinson,Christopher Nolan,7.1,81,130,115,1
10,Heart's Song,Romance,101,2021,Natalie Portman,Greta Gerwig,7.7,87,60,70,1
11,Alien Legacy,Sci-Fi,119,2023,Michael Fassbender,J.J. Abrams,7,79,145,113,0
12,Pandora Unleashed,Mystery,100,2022,Nicole Kidman,David Fincher,7.3,83,70,90,0
13,Blaze of Glory,Action,109,2021,Ryan Reynolds,Patty Jenkins,6.9,77,125,107,0
14,Riverside Melody,Romance,104,2023,Emma Stone,Damien Chazelle,7.9,88,50,50,1
15,Dark Echoes,Horror,94,2022,Daniel Kaluuya,Ari Aster,6.3,74,30,65,1
16,Golden Kingdom,Adventure,121,2021,Dwayne Johnson,Jon Favreau,7.6,83,135,120,1
17,Stellar Odyssey,Sci-Fi,114,2023,Brie Larson,Taika Waititi,7.2,82,155,130,1
18,Dreamscape,Drama,105,2022,Viola Davis,Martin Scorsese,7.1,80,55,55,0
19,Fatal Pursuit,Thriller,103,2021,Chris Evans,Rian Johnson,6.6,75,120,95,1
20,Endless Sky,Adventure,122,2023,Gal Gadot,George Miller,7.7,86,140,470,1
21,Galaxy's Lament,Sci-Fi,119,2021,Tom Hardy,James Cameron,7,81,158,126,0
22,Firestorm's Trail,Action,115,2023,Brad Pitt,Guy Ritchie,6.7,75,135,114,1
23,Eternal Melody,Romance,105,2022,Nicole Kidman,Spike Lee,7.8,86,51,73,0
24,Echoes of Tomorrow,Drama,104,2023,Kate Winslet,Martin Scorsese,7.1,78,54,44,1
25,Quest of the Unknown,Adventure,122,2021,Will Smith,Gore Verbinski,7.9,88,147,497,1
